DATE,LANGUAGE,TEST,HOST,GPU_MODEL,SIZE,COMMIT_ID,INIT_MEMORY,MALLOCS,COMPUTATION,KERNEL,OUTPUT,TOT_(measured_by_program),TOT_(measured_by_time),BIGGEST_ERROR
20131128172100,cuda,largeTest,germain,GeForce GTX 480,32x1,bc65701ef2cec3f,93.149,0.167,242.968,242.47,5.551,341.836,341.98,0.000008
20131128172700,cuda,largeTest,germain,GeForce GTX 480,32x3,bc65701ef2cec3f,93.944,0.167,236.602,236.106,5.572,336.284,336.43,57.133652
20131128172700,cuda,mediumTest,germain,GeForce GTX 480,32x1,bc65701ef2cec3f,6.504,0.168,17.348,17.312,0.389,24.41,24.49,0.000004
20131128172700,cuda,smallTest,germain,GeForce GTX 480,32x1,bc65701ef2cec3f,0.007,0.156,0.019,0.019,0,0.184,0.26,0.000002
20131128173400,cuda,largeTest,germain,GeForce GTX 480,64x1,bc65701ef2cec3f,92.409,0.17,164.327,163.828,5.615,262.521,262.67,0.000008
20131128173400,cuda,mediumTest,germain,GeForce GTX 480,32x3,bc65701ef2cec3f,6.447,0.17,16.612,16.576,0.389,23.618,23.7,4.120796
20131128173400,cuda,smallTest,germain,GeForce GTX 480,32x3,bc65701ef2cec3f,0.007,0.153,0.015,0.015,0,0.177,0.25,0.000002
20131128173900,cuda,largeTest,germain,GeForce GTX 480,64x3,bc65701ef2cec3f,94.073,0.169,239.732,239.236,5.538,339.513,339.65,0.630604
20131128173900,cuda,mediumTest,germain,GeForce GTX 480,64x1,bc65701ef2cec3f,6.716,0.165,11.688,11.652,0.391,18.96,19.04,0.000004
20131128173900,cuda,smallTest,germain,GeForce GTX 480,64x1,bc65701ef2cec3f,0.007,0.156,0.013,0.013,0,0.177,0.25,0.000002
20131128174500,cuda,mediumTest,germain,GeForce GTX 480,64x3,bc65701ef2cec3f,6.517,0.167,17.009,16.973,0.39,24.082,24.17,0.000004
20131128174600,cuda,largeTest,germain,GeForce GTX 480,96x1,bc65701ef2cec3f,94.303,0.17,161.157,160.659,5.807,261.438,261.59,56.893139
20131128174600,cuda,smallTest,germain,GeForce GTX 480,64x3,bc65701ef2cec3f,0.008,0.156,0.02,0.02,0,0.185,0.27,0.000002
20131128175100,cuda,largeTest,germain,GeForce GTX 480,96x3,bc65701ef2cec3f,92.167,0.167,299.559,299.061,5.551,397.444,397.59,0.000008
20131128175100,cuda,mediumTest,germain,GeForce GTX 480,96x1,bc65701ef2cec3f,6.445,0.168,11.485,11.448,0.391,18.489,18.57,0.000004
20131128175100,cuda,smallTest,germain,GeForce GTX 480,96x1,bc65701ef2cec3f,0.007,0.158,0.013,0.013,0,0.179,0.26,0.000002
20131128175800,cuda,mediumTest,germain,GeForce GTX 480,96x3,bc65701ef2cec3f,6.449,0.165,21.264,21.228,0.391,28.269,28.35,0.000004
20131128175900,cuda,smallTest,germain,GeForce GTX 480,96x3,bc65701ef2cec3f,0.007,0.15,0.02,0.02,0,0.178,0.25,0.000002
